id,original_id,target
0,10000,3
1,10001,3
2,10002,3
3,10003,0
4,10004,3
5,10006,0
6,10009,0
7,10010,0
8,10012,3
9,10013,0
10,10018,3
11,10019,0
12,10021,3
13,10024,0
14,10026,0
15,10027,0
16,10028,0
17,10029,0
18,10031,0
19,10034,0
20,10035,1
21,10037,1
22,10039,1
23,10040,0
24,10042,0
25,10043,0
26,10045,0
27,10046,0
28,10048,0
29,10049,0
30,10050,0
31,10051,0
32,10053,0
33,10054,0
34,10056,3
35,10057,0
36,10058,0
37,10059,0
38,10060,0
39,10061,0
40,10062,0
41,10063,0
42,10064,0
43,10065,0
44,10069,0
45,10070,0
46,10071,0
47,10072,0
48,10073,0
49,10075,0
50,10078,1
51,10080,1
52,10081,1
53,10082,1
54,10088,1
55,10089,1
56,10092,1
57,10095,1
58,10096,1
59,10097,1
60,10098,4
61,10101,1
62,10102,1
63,10104,1
64,10105,4
65,10106,4
66,10107,4
67,10108,4
68,10109,4
69,10110,1
70,10111,1
71,10117,1
72,10122,1
73,10125,1
74,10126,1
75,10127,1
76,10129,1
77,10130,4
78,10131,4
79,10133,4
80,10134,4
81,10135,4
82,10137,4
83,10138,4
84,10139,4
85,10140,4
86,10141,4
87,10144,1
88,10146,1
89,10147,1
90,10148,1
91,10150,1
92,10151,1
93,10153,1
94,10155,1
95,10156,1
96,10158,1
97,10159,1
98,10160,1
99,10162,1
100,10167,1
101,10169,1
102,10171,1
103,10172,1
104,10174,1
105,10176,1
106,10177,1
107,10178,1
108,10181,4
109,10182,1
110,10183,1
111,10184,0
112,10187,0
113,10188,0
114,10192,4
115,10193,4
116,10194,4
117,10195,4
118,10197,2
119,10199,2
120,10202,2
121,10203,2
122,10204,2
123,10205,2
124,10208,2
125,10209,2
126,10210,2
127,10213,2
128,10214,2
129,10215,2
130,10216,2
131,10217,2
132,10219,4
133,10222,2
134,10223,2
135,10224,2
136,10225,2
137,10226,2
138,10227,2
139,10230,2
140,10231,2
141,10235,4
142,10236,4
143,10237,4
144,10238,4
145,10239,4
146,10240,4
147,10241,4
148,10245,2
149,10246,2
150,10247,2
